Match ID,Player ID,Runs Scored,Balls Faced
1000887,Imad Wasim,29,36
1000887,MR Marsh,4,17
1000887,Babar Azam,33,46
1000887,CA Lynn,16,14
1000887,Umar Akmal,17,25
1000887,SPD Smith,0,1
1000887,Azhar Ali,24,50
1000887,GJ Maxwell,60,58
1000887,Mohammad Nawaz (3),1,10
1000887,MS Wade,100,102
1000887,Mohammad Amir,8,10
1000887,TM Head,39,39
1000887,Hasan Ali,1,1
1000887,Wahab Riaz,6,8
1000887,Mohammad Hafeez,4,8
1000887,Sharjeel Khan,18,23
1000887,Mohammad Rizwan,21,44
1000887,MA Starc,10,8
1000887,DA Warner,7,19
1000887,B Stanlake,1,6
1000887,JP Faulkner,5,13
1000887,PJ Cummins,15,33
1000889,TM Head,29,31
1000889,MR Marsh,0,1
1000889,UT Khawaja,17,21
1000889,Asad Shafiq,13,29
1000889,Mohammad Hafeez,72,106
1000889,Babar Azam,34,49
1000889,Umar Akmal,18,21
1000889,SPD Smith,60,103
1000889,Sharjeel Khan,29,33
1000889,DA Warner,16,25
1000889,PJ Cummins,0,3
1000889,JR Hazlewood,0,3
1000889,MA Starc,3,5
1000889,GJ Maxwell,23,26
1000889,Shoaib Malik,42,55
1000889,MS Wade,35,57
1000889,JP Faulkner,19,22
1000891,TM Head,23,25
1000891,Imad Wasim,9,13
1000891,PSP Handscomb,82,85
1000891,UT Khawaja,9,21
1000891,Asad Shafiq,5,10
1000891,Mohammad Hafeez,4,15
1000891,Babar Azam,84,103
1000891,Mohammad Amir,4,6
1000891,Umar Akmal,39,52
1000891,SPD Smith,108,107
1000891,Sharjeel Khan,50,49
1000891,Mohammad Rizwan,14,19
1000891,DA Warner,35,38
1000891,Shoaib Malik,39,41
1000893,TM Head,51,36
1000893,Imad Wasim,25,17
1000893,Junaid Khan,0,1
1000893,UT Khawaja,30,49
1000893,Mohammad Hafeez,40,40
1000893,Babar Azam,31,39
1000893,Mohammad Amir,5,6
1000893,Hasan Ali,8,7
1000893,Umar Akmal,11,25
1000893,SPD Smith,49,48
1000893,Sharjeel Khan,74,49
1000893,Mohammad Rizwan,10,12
1000893,Azhar Ali,7,10
1000893,DA Warner,130,119
1000893,Shoaib Malik,47,61
1000893,GJ Maxwell,78,44
1000893,MS Wade,5,6
1000895,TM Head,128,139
1000895,Hasan Ali,13,10
1000895,PSP Handscomb,1,2
1000895,Mohammad Rizwan,6,7
1000895,Wahab Riaz,17,21
1000895,Mohammad Hafeez,3,6
1000895,Babar Azam,100,115
1000895,Mohammad Amir,17,14
1000895,Umar Akmal,46,41
1000895,SPD Smith,4,2
1000895,Sharjeel Khan,79,71
1000895,PJ Cummins,1,1
1000895,Azhar Ali,6,9
1000895,MA Starc,6,5
1000895,DA Warner,179,129
1000895,Shoaib Malik,10,13
1000895,GJ Maxwell,13,8
1000895,MS Wade,8,7
1000895,JP Faulkner,18,13
1001371,TM Head,52,64
1001371,TWM Latham,2,7
1001371,A Zampa,2,2
1001371,MR Marsh,1,3
1001371,MJ Santner,0,7
1001371,MJ Guptill,114,103
1001371,KS Williamson,9,16
1001371,SPD Smith,164,161
1001371,JDS Neesham,34,36
1001371,GJ Bailey,17,25
1001371,AJ Finch,0,1
1001371,BJ Watling,6,13
1001371,DA Warner,24,30
1001371,PJ Cummins,0,1
1001371,MJ Henry,27,16
1001371,MA Starc,11,5
1001371,TA Boult,1,1
1001371,C de Grandhomme,6,8
1001371,C Munro,49,60
1001371,MS Wade,38,22
1001371,LH Ferguson,0,3
1001373,TM Head,57,34
1001373,TWM Latham,4,13
1001373,MR Marsh,76,41
1001373,MJ Santner,2,6
1001373,MJ Guptill,45,34
1001373,KS Williamson,81,80
1001373,SPD Smith,72,77
1001373,MS Wade,11,5
1001373,GJ Bailey,0,1
1001373,AJ Finch,19,38
1001373,BJ Watling,17,22
1001373,DA Warner,119,116
1001373,MJ Henry,7,13
1001373,TG Southee,2,4
1001373,TA Boult,2,6
1001373,C de Grandhomme,12,14
1001373,C Munro,11,12
1001373,JDS Neesham,74,84
1001375,TM Head,37,71
1001375,TWM Latham,28,39
1001375,MR Marsh,0,2
1001375,MJ Santner,15,21
1001375,MJ Guptill,34,40
1001375,KS Williamson,13,13
1001375,SPD Smith,0,8
1001375,LH Ferguson,4,15
1001375,HM Nicholls,3,11
1001375,GJ Bailey,23,54
1001375,AJ Finch,3,9
1001375,BJ Watling,8,13
1001375,DA Warner,156,132
1001375,TG Southee,4,14
1001375,TA Boult,1,7
1001375,C de Grandhomme,11,10
1001375,C Munro,20,38
1001375,MS Wade,14,24
1001375,JP Faulkner,13,13
1003271,Rahmat Shah,100,125
1003271,Noor Ali Zadran,1,4
1003271,Asghar Stanikzai,20,20
1003271,Najibullah Zadran,89,55
1003271,Mohammad Shahzad,26,25
1003271,Javed Ahmadi,39,61
1003273,MA Leask,3,7
1003273,Rahmat Shah,26,31
1003273,BTJ Wheal,0,1
1003273,Noor Ali Zadran,6,20
1003273,Mirwais Ashraf,0,1
1003273,PL Mommsen,13,17
1003273,Asghar Stanikzai,5,11
1003273,Najibullah Zadran,11,28
1003273,Mohammad Shahzad,84,94
1003273,CD de Lange,20,39
1003273,RAJ Smith,10,6
1003273,Mohammad Nabi,14,14
1003273,CD Wallace,33,16
1003273,MH Cross,24,21
1003273,SM Sharif,3,4
1003273,AC Evans,3,13
1003273,Javed Ahmadi,16,33
1003273,KJ Coetzer,0,2
1003273,RD Berrington,19,38
1004283,CS MacLeod,28,17
1004283,Ehsan Khan,2,3
1004283,Anshuman Rath,32,30
1004283,PL Mommsen,12,17
1004283,CD de Lange,26,27
1004283,CD Wallace,14,8
1004283,MH Cross,1,5
1004283,Nizakat Khan,43,26
1004283,Babar Hayat,26,30
1004283,Tanwir Afzal,7,7
1004283,KJ Coetzer,53,30
1004283,Aizaz Khan,12,18
1004283,SM Sharif,12,12
1004283,RD Berrington,4,7
1004285,CS MacLeod,102,109
1004285,C Carter,15,25
1004285,Ehsan Khan,7,17
1004285,Nadeem Ahmed,14,11
1004285,Anshuman Rath,13,21
1004285,Shahid Wasif,4,8
1004285,CD de Lange,11,19
1004285,MA Leask,12,23
1004285,Tanveer Ahmed,0,1
1004285,CD Wallace,52,53
1004285,MH Cross,13,23
1004285,Nizakat Khan,40,56
1004285,Babar Hayat,56,68
1004285,MRJ Watt,1,2
1004285,Waqas Khan,8,19
1004285,Tanwir Afzal,20,16
1004285,KJ Coetzer,48,42
1004285,Aizaz Khan,25,43
1004285,SM Sharif,2,3
1004285,RD Berrington,10,31
1007649,TL Chatara,4,10
1007649,V Sibanda,5,21
1007649,KL Rahul,100,117
1007649,E Chigumbura,41,66
1007649,AG Cremer,8,11
1007649,R Mutumbami,15,28
1007649,T Muzarabani,1,1
1007649,AT Rayudu,62,121
1007649,CJ Chibhabha,13,47
1007649,KK Nair,7,20
1007649,CR Ervine,21,48
1007649,PJ Moor,3,5
1007649,Sikandar Raza,23,54
1007649,H Masakadza,14,21
1007651,TL Chatara,2,6
1007651,V Sibanda,53,70
1007651,AG Cremer,7,17
1007651,MK Pandey,4,1
1007651,E Chigumbura,0,1
1007651,KL Rahul,33,50
1007651,R Mutumbami,2,14
1007651,T Muzarabani,5,10
1007651,AT Rayudu,41,47
1007651,H Masakadza,9,18
1007651,KK Nair,39,69
1007651,PJ Moor,1,9
1007651,Sikandar Raza,16,42
1007651,CJ Chibhabha,21,26
1007653,FY Fazal,55,65
1007653,V Sibanda,38,71
1007653,AG Cremer,0,1
1007653,T Mupariwa,1,9
1007653,MN Waller,8,15
1007653,E Chigumbura,0,1
1007653,R Mutumbami,4,3
1007653,T Maruma,17,29
1007653,H Masakadza,8,20
1007653,CJ Chibhabha,27,67
1007653,KL Rahul,63,72
1007653,N Madziva,10,26
1007653,DT Tiripano,2,17
1019973,MJ Santner,8,7
1019973,Sabbir Rahman,16,11
1019973,TWM Latham,137,123
1019973,Mosaddek Hossain,50,48
1019973,Soumya Sarkar,1,8
1019973,KS Williamson,31,36
1019973,MJ Guptill,15,19
1019973,Mushfiqur Rahim,42,51
1019973,Tamim Iqbal,38,62
1019973,Mahmudullah,0,3
1019973,NT Broom,22,33
1019973,Shakib Al Hasan,59,59
1019973,Mashrafe Mortaza,14,11
1019973,TG Southee,7,5
1019973,L Ronchi,5,6
1019973,C Munro,87,61
1019973,Taskin Ahmed,2,11
1019973,JDS Neesham,12,13
1019973,Imrul Kayes,16,22
1019973,Mustafizur Rahman,0,1
1019975,MJ Santner,9,17
1019975,Subashis Roy,1,9
1019975,KS Williamson,14,38
1019975,MJ Guptill,0,4
1019975,Imrul Kayes,59,92
1019975,Nurul Hasan,24,33
1019975,TA Boult,12,12
1019975,Mashrafe Mortaza,17,20
1019975,C Munro,3,7
1019975,JDS Neesham,28,31
1019975,Sabbir Rahman,38,50
1019975,TWM Latham,22,35
1019975,Mosaddek Hossain,3,8
1019975,Tamim Iqbal,16,24
1019975,Tanbir Hayder,2,6
1019975,Mahmudullah,1,10
1019975,NT Broom,109,107
1019975,Shakib Al Hasan,7,11
1019975,TG Southee,3,7
1019975,L Ronchi,35,38
1019975,Taskin Ahmed,0,4
1019975,LH Ferguson,4,8
1019977,Sabbir Rahman,19,16
1019977,TWM Latham,4,7
1019977,Mosaddek Hossain,11,14
1019977,Imrul Kayes,44,63
1019977,MJ Guptill,6,5
1019977,Tamim Iqbal,59,92
1019977,Tanbir Hayder,3,11
1019977,Mahmudullah,3,7
1019977,NT Broom,97,99
1019977,Shakib Al Hasan,18,35
1019977,Nurul Hasan,44,40
1019977,KS Williamson,95,119
1019977,Mashrafe Mortaza,14,18
1019977,Taskin Ahmed,4,13
1019977,JDS Neesham,28,24
1020013,MJ Santner,7,19
1020013,PSP Handscomb,7,7
1020013,TWM Latham,7,9
1020013,TM Head,5,15
1020013,JP Faulkner,25,53
1020013,MJ Guptill,61,75
1020013,SE Marsh,16,21
1020013,KS Williamson,24,34
1020013,MP Stoinis,146,121
1020013,NT Broom,73,78
1020013,MA Starc,3,3
1020013,AJ Finch,4,7
1020013,TA Boult,16,7
1020013,PJ Cummins,36,28
1020013,SD Heazlett,4,11
1020013,TG Southee,0,2
1020013,GJ Maxwell,20,24
1020013,C Munro,2,6
1020013,JDS Neesham,48,45
1020013,LRPL Taylor,16,27
1020013,LH Ferguson,3,6
1020017,MJ Santner,38,34
1020017,PSP Handscomb,0,2
1020017,JR Hazlewood,4,5
1020017,A Zampa,1,5
1020017,TG Southee,10,8
1020017,AJ Finch,56,66
1020017,TA Boult,1,1
1020017,C Munro,3,9
1020017,JDS Neesham,1,7
1020017,JP Faulkner,0,3
1020017,TM Head,53,72
1020017,TWM Latham,0,8
1020017,SE Marsh,22,22
1020017,KS Williamson,37,42
1020017,DG Brownlie,63,81
1020017,NT Broom,8,12
1020017,PJ Cummins,27,37
1020017,MP Stoinis,42,50
1020017,MA Starc,29,24
1020017,GJ Maxwell,0,3
1020017,LRPL Taylor,107,105
1020017,LH Ferguson,0,1
1026847,A Vala,43,42
1026847,VV Morea,5,10
1026847,C Carter,16,18
1026847,S Bau,8,15
1026847,Nadeem Ahmed,6,13
1026847,Nizakat Khan,45,64
1026847,TP Ura,11,15
1026847,CA Soper,2,9
1026847,Ehsan Khan,0,1
1026847,N Vanua,0,1
1026847,L Siaka,36,45
1026847,WT Gavera,4,6
1026847,MD Dai,2,8
1026847,H Hiri,11,39
1026847,D Bau,34,45
1026847,KD Shah,9,21
1026847,Shahid Wasif,2,12
1026847,Babar Hayat,77,98
1026847,Aizaz Khan,44,47
1026847,Anshuman Rath,1,2
1026847,Tanwir Afzal,47,32
1026849,VV Morea,1,12
1026849,JB Reva,1,8
1026849,S Bau,40,51
1026849,KD Shah,0,7
1026849,TP Ura,8,11
1026849,CA Soper,9,21
