821,31,114,54
269,60,59,6
132,53,21,42
236,144,16,28
322,113,65,60
903,141,70,169
759,176,6,103
754,73,57,1
532,179,29,63
647,28,128,65
173,147,14,106
112,49,75,164
576,113,89,63
618,32,36,125
694,191,85,179
817,200,1,99
979,169,130,46
843,131,88,129
743,42,38,59
620,41,50,122
739,161,12,17
894,187,83,104
107,9,98,149
606,184,113,154
327,160,63,52
56,18,27,66
795,55,31,19
512,26,114,99
22,116,140,216
838,57,66,161
475,144,84,180
721,137,87,130
279,117,122,121
715,190,145,202
701,124,68,110
598,79,23,114
42,64,118,73
197,184,89,182
688,86,48,121
664,103,53,136
845,35,137,81
868,158,66,156
600,195,79,122
130,109,31,70
139,91,66,50
320,45,17,113
36,71,12,76
377,163,82,108
428,96,130,111
362,117,16,111
549,74,64,73
745,168,85,114
327,128,69,133
673,45,144,153
617,16,144,72
838,11,5,94
829,79,29,110
288,128,26,91
886,133,126,173
429,69,76,34
79,71,11,13
182,118,142,42
1,13,47,27
62,159,30,24
570,113,36,48
37,150,35,9
392,5,141,109
508,79,81,112
472,76,33,100
344,176,49,33
567,192,105,181
591,61,82,162
91,107,72,24
569,68,49,39
177,55,108,19
312,141,110,153
683,44,117,19
221,133,129,125
681,56,41,97
926,50,57,149
241,152,44,3
343,192,78,116
312,139,127,73
256,103,45,59
800,61,43,72
274,105,44,26
253,28,98,141
982,171,89,115
340,143,144,132
665,106,27,28
636,133,130,196
818,63,139,71
975,36,84,178
873,27,137,127
39,150,37,58
219,114,41,116
740,40,89,12
779,20,106,78
748,17,13,39
410,31,112,112
904,3,57,143
463,119,3,19
762,166,124,125
624,101,86,170
251,54,37,2
356,2,10,86
447,29,5,38
777,68,67,53
602,153,115,92
391,160,74,134
730,93,10,32
211,71,55,144
117,34,84,58
363,123,149,129
28,58,42,125
592,143,83,82
499,43,136,37
230,119,28,21
456,151,10,54
100,26,77,54
770,60,91,178
193,141,94,134
929,24,58,102
411,159,97,31
551,125,47,95
813,119,12,65
422,12,142,94
106,154,65,38
632,182,131,91
463,29,107,154
725,186,133,61
532,111,111,124
822,157,120,45
80,69,143,188
435,154,130,120
113,133,134,126
461,175,140,79
651,2,59,143
665,31,27,57
220,17,52,38
354,107,104,31
284,58,73,74
990,12,137,208
309,5,80,123
725,140,63,55
396,85,17,48
748,176,10,85
43,141,91,46
595,112,32,111
865,4,119,154
753,139,59,31
946,189,61,40
743,132,87,168
860,64,93,46
130,45,2,22
609,112,105,79
289,126,144,82
571,122,78,125
637,194,26,73
867,144,34,48
405,18,70,151
34,102,102,148
595,181,75,174
938,149,89,87
539,121,90,15
88,67,111,104
543,101,57,14
258,63,39,95
529,20,6,16
825,123,133,63
319,22,107,197
101,4,127,100
770,125,134,117
772,90,92,146
863,91,101,43
107,137,117,18
550,5,95,165
333,142,33,7
584,14,131,99
119,29,128,77
740,184,80,54
849,11,106,36
674,62,119,89
447,113,105,174
762,34,38,1
733,130,44,35
196,73,56,35
52,142,140,123
977,138,109,205
243,103,114,148
453,184,129,220
600,33,51,34
1000,72,48,13
374,182,86,37
816,180,138,209
594,117,136,99
791,185,101,61
629,54,101,65
251,166,35,81
21,112,33,66
937,188,75,81
296,11,33,53
993,199,50,113
638,75,143,102
235,126,32,96
695,85,51,86
942,127,22,102
862,148,144,97
647,76,92,96
560,153,120,203
371,84,58,142
787,194,21,52
272,82,3,26
531,124,134,197
158,111,85,58
310,194,74,118
466,97,41,35
702,195,128,32
293,50,105,165
308,139,122,77
483,188,106,81
114,1,103,54
569,143,121,204
573,156,116,58
794,74,133,150
222,53,102,180
156,19,114,125
955,193,88,23
515,166,126,208
751,165,117,156
676,54,125,74
151,72,57,59
832,39,101,51
347,30,24,81
778,151,140,96
439,130,129,190
550,88,38,21
461,102,86,24
540,82,37,117
568,171,29,80
333,107,98,101
605,71,88,68
743,157,70,114
865,171,12,81
151,196,89,15
352,94,134,189
940,86,3,55
491,143,150,150
408,145,106,168
464,63,114,176
133,4,142,148
519,94,100,62
99,23,107,31
609,174,108,136
880,155,99,1
637,101,93,92
554,166,80,81
122,42,64,38
223,85,82,73
74,174,55,132
962,157,132,46
63,172,116,93
508,157,103,170
574,129,85,45
840,184,107,33
188,35,72,51
975,160,111,92
516,135,119,31
110,5,58,40
290,148,18,72
60,42,97,77
630,151,122,204
116,39,72,160
645,133,78,119
362,132,73,124
733,186,133,69
805,177,47,45
290,123,67,144
270,55,23,90
357,20,91,57
104,147,10,101
209,56,135,126
835,13,146,209
202,107,126,135
63,155,72,109
490,141,4,54
936,105,42,14
934,114,129,192
61,151,41,27
757,154,27,28
889,118,146,87
177,131,49,57
694,25,117,158
640,97,125,149
8,154,19,103
464,94,118,51
844,200,107,91
982,15,1,99
641,100,8,79
578,52,79,51
377,35,81,84
671,82,85,166
169,53,109,157
340,163,144,162
260,55,91,71
305,101,31,130
40,90,32,120
703,118,53,3
321,98,70,97
336,30,107,17
839,127,93,132
331,17,133,178
856,124,10,11
709,19,144,99
679,109,69,143
339,181,54,106
713,191,31,4
374,33,3,64
119,194,86,59
878,165,102,43
605,74,65,71
96,143,100,71
553,172,95,42
466,83,56,45
687,165,10,72
765,107,74,64
43,120,110,162
377,31,111,197
821,145,62,137
800,96,25,34
395,98,24,33
454,54,110,61
441,8,12,93
360,107,5,53
651,72,82,62
336,132,51,102
669,86,112,55
623,51,119,140
46,155,24,1
358,3,28,82
27,59,132,109
16,103,1,67
661,189,56,30
421,126,145,103
89,148,61,74
729,150,75,61
747,91,128,62
438,121,107,35
814,151,94,90
279,130,124,144
450,38,5,99
319,182,75,89
463,85,114,203
260,95,113,162
882,28,87,164
141,162,80,168
18,134,106,50
840,141,59,30
398,134,86,186
29,192,146,212
760,133,35,43
285,152,107,186
368,16,130,90
968,199,122,71
203,148,129,174
236,75,56,48
638,100,78,121
23,15,82,118
35,98,80,121
180,90,55,37
635,170,144,190
614,161,95,170
129,55,43,101
119,16,98,73
943,28,61,74
303,100,19,93
638,74,95,109
820,1,105,36
475,103,23,98
634,148,81,29
219,130,47,129
646,133,19,11
298,200,57,136
406,48,92,137
963,194,37,110
412,5,129,77
640,59,111,128
856,16,112,58
975,181,149,98
341,198,60,84
938,86,98,34
828,93,111,102
454,168,138,161
884,166,98,197
720,90,121,53
727,59,3,46
346,41,74,129
183,154,45,107
746,147,86,81
4,189,105,37
892,127,70,91
386,107,28,87
371,62,106,76
882,112,135,208
242,127,97,117
606,146,137,52
797,68,137,207
775,147,64,162
777,168,82,73
861,179,90,81
93,44,114,72
142,72,23,60
186,56,31,121
349,44,8,48
337,68,99,41
94,200,142,136
564,19,39,45
670,122,92,147
187,97,147,76
642,70,140,128
117,181,121,24
723,29,149,68
618,118,22,65
417,195,78,40
770,122,146,187
597,189,132,89
16,50,148,136
474,200,100,8
285,62,3,82
573,6,76,112
629,149,102,44
159,86,140,59
668,57,142,49
818,198,135,136
178,65,134,146
793,28,150,200
647,156,9,77
142,97,102,71
986,117,70,107
734,44,97,5
314,152,32,44
992,6,22,92
600,166,139,163
199,92,108,77
292,168,103,22
465,43,136,79
997,133,131,117
311,103,92,81
321,109,76,51
713,4,148,167
131,131,87,158
815,200,127,28
569,101,131,163
370,121,71,94
728,42,96,97
434,178,75,157
757,17,39,1
416,126,13,77
166,70,132,135
160,47,69,165
335,6,91,171
505,81,93,149
140,136,65,135
50,112,82,75
739,42,33,36
856,33,65,52
924,22,138,42
980,14,4,21
794,47,124,147
160,127,99,73
624,72,75,15
208,152,143,54
535,178,84,43
141,19,59,85
797,91,112,114
585,76,113,25
553,196,117,51
700,37,71,131
749,186,128,193
229,83,134,82
773,95,97,194
97,26,33,112
831,182,71,84
986,30,122,113
593,174,91,137
269,39,17,41
366,6,11,39
462,127,28,67
617,139,10,39
102,40,138,141
596,79,92,119
